Name,AgeinMonths,Observation,Video,SessionID,BoutID,Initiator,floor,infant,Distance,PercentWalk
A,10,A_10,A_10_1,1,1,parent,0,2,0.257832767,0
A,10,A_10,A_10_1,1,2,parent,0,1,0.345383439,0
A,10,A_10,A_10_1,2,3,infant,0,1,0.156995357,0
A,10,A_10,A_10_1,2,4,infant,0,1,0.315322445,0
A,10,A_10,A_10_1,2,5,parent,0,2,0.318350396,0
A,10,A_10,A_10_1,2,6,parent,0,2,0.278266602,0
A,10,A_10,A_10_1,2,7,parent,0,2,0.405654169,0
A,10,A_10,A_10_1,2,8,parent,0,2,0.282393118,0
A,10,A_10,A_10_1,2,9,parent,0,2,0.304998959,0
A,10,A_10,A_10_1,2,10,parent,0,2,0.293338323,0
A,10,A_10,A_10_1,2,11,parent,0,2,0.215730128,0
A,10,A_10,A_10_1,2,12,parent,0,1,0.308413518,0
A,10,A_10,A_10_1,2,14,parent,1,1,0.371150532,0
A,10,A_10,A_10_1,3,15,parent,0,2,0.31171271,0
A,10,A_10,A_10_1,5,18,parent,0,1,0.388022624,0
A,10,A_10,A_10_1,5,23,infant,0,0,0.156998638,0
A,10,A_10,A_10_1,5,24,parent,2,1,0.247034428,0
A,10,A_10,A_10_1,5,25,infant,0,1,0.210458552,0
A,10,A_10,A_10_1,5,27,parent,0,1,0.217726002,0
A,10,A_10,A_10_1,5,28,infant,0,2,0.20903422,0
A,10,A_10,A_10_1,5,29,infant,0,1,0.389171414,0
A,10,A_10,A_10_1,5,30,parent,0,1,0.345712332,0
A,10,A_10,A_10_1,5,31,parent,0,2,0.315606269,0
A,10,A_10,A_10_1,5,33,parent,0,3,0.340373994,0
A,10,A_10,A_10_1,5,34,infant,0,3,0.41796329,0
A,10,A_10,A_10_1,5,35,parent,0,3,0.317392719,0
A,10,A_10,A_10_1,6,37,infant,0,1,0.40108529,0
A,10,A_10,A_10_1,7,50,parent,0,1,0.242331592,0
A,10,A_10,A_10_1,8,51,parent,0,1,0.187997988,0
A,10,A_10,A_10_1,9,52,parent,0,0,0.134494185,0
A,10,A_10,A_10_1,9,54,infant,0,1,0.166737012,0
A,10,A_10,A_10_1,10,55,parent,0,0,0.215237249,0
A,10,A_10,A_10_1,11,63,parent,2,1,0.229846121,0
A,10,A_10,A_10_1,11,64,infant,0,1,0.339513072,0
A,10,A_10,A_10_1,11,65,parent,6,1,0.316465686,0
A,10,A_10,A_10_1,11,66,infant,2,1,0.199076696,0
A,10,A_10,A_10_1,11,67,parent,0,2,0.36259648,0
A,10,A_10,A_10_1,12,68,parent,0,0,0.209420065,0
